City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Hambantota,LK,6.1241,81.1185,82.74,89,40,18.1,scattered clouds
194,Airai,TL,-8.9266,125.4092,59.36,92,57,2.46,broken clouds
195,Torbay,CA,47.6666,-52.7314,69.89,51,20,11.5,few clouds
196,Bonavista,CA,48.6499,-53.1147,66.2,72,7,2.51,clear sky
197,Kraskino,RU,42.7114,130.7794,53.85,99,100,2.89,overcast clouds
198,Zhigansk,RU,66.7697,123.3711,64.74,54,78,10.49,broken clouds
199,Gizo,SB,-8.103,156.8419,81.54,77,64,7.29,broken clouds
200,Limon,CR,10.0,-83.0333,75.09,100,90,5.75,moderate rain
201,Makakilo City,US,21.3469,-158.0858,75.56,72,1,3.44,clear sky
202,East London,ZA,-33.0153,27.9116,59.94,67,40,6.91,scattered clouds
203,Esperance,AU,-33.8667,121.9,57.04,83,40,4.88,scattered clouds
204,Norman Wells,CA,65.282,-126.8329,50.04,87,90,3.44,overcast clouds
205,Los Barrios,ES,36.1848,-5.4921,75.02,68,20,9.08,few clouds
206,Raudeberg,NO,61.9875,5.1352,76.6,66,81,8.14,broken clouds
207,Launceston,AU,-41.45,147.1667,52.81,92,98,6.04,light rain
208,Vila Velha,BR,-20.3297,-40.2925,82.35,65,0,5.01,clear sky
209,Wewak,PG,-3.5534,143.6268,79.68,82,29,2.26,scattered clouds
210,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.18,79,73,14.0,broken clouds
211,Nemuro,JP,43.3236,145.575,49.78,100,100,10.4,overcast clouds
212,Nerang,AU,-27.9833,153.3333,62.58,95,40,5.95,scattered clouds
213,Omboue,GA,-1.5746,9.2618,81.95,74,42,11.14,scattered clouds
214,Bambui,BR,-20.0064,-45.9769,77.27,53,0,3.15,clear sky
215,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,75,20.71,broken clouds
216,Cap Malheureux,MU,-19.9842,57.6142,77.49,69,2,7.0,clear sky
217,Coquimbo,CL,-29.9533,-71.3436,53.33,100,90,6.17,fog
218,Agadir,MA,30.4202,-9.5982,77.45,54,100,8.37,overcast clouds
219,Ulladulla,AU,-35.35,150.4667,53.1,91,100,6.26,overcast clouds
220,Den Helder,NL,52.9599,4.7593,76.01,72,90,13.8,overcast clouds
221,Tahe,CN,52.3333,124.7333,50.77,96,100,3.58,light rain
222,Aklavik,CA,68.2191,-135.0107,43.63,87,90,4.61,overcast clouds
223,Chicama,PE,-7.8447,-79.1469,63.14,75,100,3.04,overcast clouds
224,Owando,CG,-0.4819,15.8999,93.97,37,11,0.89,few clouds
225,Chernyshevskiy,RU,63.0128,112.4714,64.38,41,100,5.12,overcast clouds
226,Mehran,IR,33.1222,46.1646,107.08,6,0,23.42,clear sky
227,Sao Raimundo Nonato,BR,-9.0153,-42.6994,91.13,35,0,10.18,clear sky
228,Luderitz,NA,-26.6481,15.1594,79.92,25,0,9.26,clear sky
229,Uyuni,BO,-20.4597,-66.825,46.2,13,1,3.06,clear sky
230,Ekhabi,RU,53.5102,142.9671,51.96,81,100,10.98,overcast clouds
231,Pieve Di Soligo,IT,45.9025,12.1772,82.54,51,44,3.94,scattered clouds
232,Saskylakh,RU,71.9167,114.0833,37.18,78,100,7.72,overcast clouds
233,Dikson,RU,73.5069,80.5464,32.09,97,100,11.05,overcast clouds
234,Banda Aceh,ID,5.5577,95.3222,80.74,83,100,5.75,moderate rain
235,Road Town,VG,18.4167,-64.6167,84.29,74,40,9.22,scattered clouds
236,Karoi,ZW,-16.8099,29.6925,75.31,29,81,8.39,broken clouds
237,Vanavara,RU,60.34,102.2797,63.55,68,77,5.3,broken clouds
238,Aleksandrovskiy Zavod,RU,50.9237,117.9374,48.74,85,58,10.65,broken clouds
239,Palembang,ID,-2.9167,104.7458,84.29,84,40,9.22,scattered clouds
240,Camacha,PT,33.0833,-16.3333,67.42,52,20,13.8,few clouds
241,Bermeo,ES,43.4209,-2.7215,64.71,87,100,12.24,overcast clouds
242,Yellapur,IN,14.9667,74.7167,74.82,91,100,2.06,overcast clouds
243,Ustka,PL,54.5805,16.8619,66.43,54,46,11.59,scattered clouds
244,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,69,0,5.73,clear sky
245,Loanda,AO,-8.8368,13.2343,82.4,74,20,9.22,few clouds
246,Bhalki,IN,18.0333,77.2167,81.32,63,49,2.06,light rain
247,Vanderhoof,CA,54.0166,-124.0198,54.1,84,100,3.31,overcast clouds
248,Ambilobe,MG,-13.2,49.05,79.32,65,7,3.65,clear sky
249,Wagar,SD,16.1525,36.2032,105.37,16,13,3.91,few clouds
