City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Gadsden,US,2021-05-31 21:04:41,34.0143,-86.0066,83.08,50,11,4.59
242,Ayotzintepec,MX,2021-05-31 21:04:41,17.6667,-96.1333,92.61,46,54,4.61
243,Srednekolymsk,RU,2021-05-31 21:04:41,67.45,153.6833,61.83,36,7,13.67
244,Chokurdakh,RU,2021-05-31 21:04:42,70.6333,147.9167,62.06,36,54,8.37
245,Vila Franca Do Campo,PT,2021-05-31 21:04:42,37.7167,-25.4333,64.81,91,98,12.33
246,Linkou,CN,2021-05-31 21:04:43,45.3,130.2833,54.82,89,100,4.14
247,Ugoofaaru,MV,2021-05-31 21:04:43,5.6667,73.0,82.96,71,84,20.74
248,Santa Marta,CO,2021-05-31 21:01:56,11.2408,-74.199,92.34,65,46,11.01
249,Flinders,AU,2021-05-31 21:04:43,-34.5833,150.8552,49.21,90,97,1.01
250,Arifwala,PK,2021-05-31 21:04:44,30.294,73.0735,88.95,33,4,15.68
251,Verkhnevilyuysk,RU,2021-05-31 21:04:45,63.4453,120.3167,55.96,55,24,4.18
252,Dicabisagan,PH,2021-05-31 21:04:45,17.0818,122.4157,79.3,88,100,2.75
253,Makakilo City,US,2021-05-31 21:04:45,21.3469,-158.0858,83.68,56,11,2.89
254,Myanaung,MM,2021-05-31 21:04:46,18.2833,95.3167,81.21,72,100,1.23
255,Wyndham,US,2021-05-31 21:04:46,37.6985,-77.6125,76.59,51,20,3.0
256,Iaciara,BR,2021-05-31 21:04:46,-14.0958,-46.6317,77.72,33,86,3.89
257,North Bend,US,2021-05-31 21:04:47,43.4065,-124.2243,85.95,64,1,20.71
258,Katangli,RU,2021-05-31 21:04:47,51.7102,143.2326,39.79,73,15,6.8
259,Itarema,BR,2021-05-31 21:04:47,-2.9248,-39.9167,79.88,80,32,12.91
260,Salinopolis,BR,2021-05-31 21:04:48,-0.6136,-47.3561,79.2,84,46,7.43
261,West Plains,US,2021-05-31 21:02:05,36.7281,-91.8524,72.32,61,100,3.69
262,Santiago Del Estero,AR,2021-05-31 21:01:34,-27.7951,-64.2615,69.8,33,0,7.63
263,Eatonton,US,2021-05-31 21:04:49,33.3268,-83.3885,84.13,46,71,5.53
264,Forecariah,GN,2021-05-31 21:04:49,9.4306,-13.0881,79.84,80,100,3.85
265,Noumea,NC,2021-05-31 21:00:04,-22.2763,166.4572,69.01,99,100,7.47
266,Dunedin,NZ,2021-05-31 21:01:08,-45.8742,170.5036,45.81,69,51,8.01
267,Hervey Bay,AU,2021-05-31 21:04:50,-25.2986,152.8535,61.03,80,39,10.49
268,Blagoyevo,RU,2021-05-31 21:04:50,63.3667,47.9167,41.29,75,20,5.59
269,Tiksi,RU,2021-05-31 21:04:51,71.6872,128.8694,43.16,75,8,1.68
270,Nishihara,JP,2021-05-31 21:04:51,26.1842,127.7558,74.48,88,75,16.58
271,Salalah,OM,2021-05-31 21:03:03,17.0151,54.0924,81.37,78,99,8.77
272,Xingyi,CN,2021-05-31 21:04:52,24.1877,102.817,60.69,96,59,3.62
273,Tambacounda,SN,2021-05-31 21:04:52,13.7539,-13.7586,95.2,24,99,6.38
274,Koumac,NC,2021-05-31 21:04:52,-20.5667,164.2833,70.66,58,7,13.27
275,Khuzhir,RU,2021-05-31 21:04:53,53.1939,107.3397,39.94,77,100,8.57
276,Eyl,SO,2021-05-31 21:04:53,7.9803,49.8164,79.83,78,100,21.56
277,Tazovskiy,RU,2021-05-31 21:04:53,67.4667,78.7,31.95,74,7,7.61
