City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Wewak,PG,79.68,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
210,Puerto Baquerizo Moreno,EC,73.18,broken clouds,-0.9,-89.6,Hotel los Algarrobos
213,Omboue,GA,81.95,scattered clouds,-1.5746,9.2618,Hotel Olako
214,Bambui,BR,77.27,clear sky,-20.0064,-45.9769,Paulinelli Palace Hotel
216,Cap Malheureux,MU,77.49,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
218,Agadir,MA,77.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
220,Den Helder,NL,76.01,overcast clouds,52.9599,4.7593,Hotel Den Helder
231,Pieve Di Soligo,IT,82.54,scattered clouds,45.9025,12.1772,Villaguarda
234,Banda Aceh,ID,80.74,moderate rain,5.5577,95.3222,Sulthan Hotel International
235,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
236,Karoi,ZW,75.31,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
239,Palembang,ID,84.29,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
242,Yellapur,IN,74.82,overcast clouds,14.9667,74.7167,Hotel Sambhram & Lodge
244,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
245,Loanda,AO,82.4,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
246,Bhalki,IN,81.32,light rain,18.0333,77.2167,Sagar Home
248,Ambilobe,MG,79.32,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
250,El Campo,US,78.89,clear sky,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
251,Katsuura,JP,70.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
253,Odda,NO,73.78,broken clouds,60.0691,6.5457,Odda Camping
258,Sao Filipe,CV,74.44,overcast clouds,14.8961,-24.4956,Hotel Xaguate
265,Phalaborwa,ZA,72.68,broken clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
267,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
275,Matara,LK,80.04,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
276,Kudahuvadhoo,MV,83.59,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
277,Umm Lajj,SA,84.65,clear sky,25.0213,37.2685,Moon light Furnished Units
280,Cayenne,GF,82.44,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
282,Kulhudhuffushi,MV,83.14,overcast clouds,6.6221,73.07,Haajy Guest House 1
284,Singaraja,ID,80.02,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
